stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\admin\Desktop\for this shit\towerdef\bin\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.00031] Starting DirectSound...
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.07289] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.07624] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.07633] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.07634] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.07635] added dtor for voice 02C7B428, func 61DC5398
dtor     D               dtor.c:196  _al_register_destructor          [   0.07637] added dtor for mixer 02C7B500, func 61DC1429
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.07638] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.07639] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.07882] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.07885] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.07896] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.07898] added dtor for sample_instance 02C7B8B8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07901] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07903] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07904] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07907] added dtor for sample_instance 02C7BFD0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07908] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07909] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07910] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07912] added dtor for sample_instance 02C7B698, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07924] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07926] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07927] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07929] added dtor for sample_instance 02C7B788, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07930] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07931] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07932] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07934] added dtor for sample_instance 02C880D0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07936] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07937] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07938] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07939] added dtor for sample_instance 02C881C0, func 61DBB8F3
