stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\admin\Desktop\for this shit\towerdef\bin\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.00051] Starting DirectSound...
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.07730] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.08037] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.08045] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.08046] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.08047] added dtor for voice 02C1AF18, func 61DC5398
dtor     D               dtor.c:196  _al_register_destructor          [   0.08048] added dtor for mixer 02C1B3B8, func 61DC1429
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.08049] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.08050] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.08251] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.08253] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.08261] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.08262] added dtor for sample_instance 02C1B770, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08264] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08264] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08265] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08266] added dtor for sample_instance 02C1BC68, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08267] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08268] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08268] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08269] added dtor for sample_instance 02C1BD58, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08270] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08271] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08271] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08272] added dtor for sample_instance 02C1BE48, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08273] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08273] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08274] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08275] added dtor for sample_instance 02C1C158, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08275] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08276] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08276] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08279] added dtor for sample_instance 02C1B550, func 61DBB8F3
